Lab,Study,type,SRS_ID,TKN_r,TKN_mpv,NO3_r,NO3_mpv,reported_NO3 method,TN_r,TN_mpv,TKN_r2,NO3_r2,TN_r2,TN_c,compare,inferred _TN_method,reported_TN_method,bias-TN-d,bias-TN-c,TN-d bias %,TN-c bias %,Flag TN-d,Flag TN-c
12,Spring - 2016,(high),130,0.6,0.547,1.8,1.81,colorimetric,NA,2.32,0.6,1.8,NA,2.4,NA,c,NA,NA,0.08,NA,3.45,,
12,Spring - 2016,(low),129,0.2,0.24,0.27,0.267,colorimetric,NA,0.48,0.2,0.27,NA,0.47,NA,c,NA,NA,-0.01,NA,-2.08,,
12,Spring - 2017,(high),134,0.2,0.196,0.1,0.801,colorimetric,NA,0.98,0.2,0.1,NA,0.3,NA,c,NA,NA,-0.68,NA,-69.39,,C
12,Spring - 2017,(low),133,0.35,0.134,0.76,0.09,colorimetric,NA,0.199,0.35,0.76,NA,1.11,NA,c,NA,NA,0.911,NA,457.79,,C
12,Spring - 2018,(high),138,0.75,0.495,0.78,0.79,colorimetric,NA,1.27,0.75,0.78,NA,1.53,NA,c,NA,NA,0.26,NA,20.47,,
12,Spring - 2018,(low),137,0.25,0.143,0.31,0.326,colorimetric,NA,0.45,0.25,0.31,NA,0.56,NA,c,NA,NA,0.11,NA,24.44,,
16,Fall - 2012,(high),116,0.46,0.428,0.45,0.445,colorimetric,0.91,0.889,0.46,0.45,0.91,0.91,0,c,other,NA,0.021,NA,2.36,,
16,Fall - 2012,(low),115,0.21,0.264,0.23,0.228,colorimetric,0.44,0.463,0.21,0.23,0.44,0.44,0,c,other,NA,-0.023,NA,-4.97,,
16,Fall - 2013,(high),120,0.48,0.54,0.65,0.692,colorimetric,1.13,1.21,0.48,0.65,1.13,1.13,0,c,other,NA,-0.08,NA,-6.61,,
16,Fall - 2013,(low),119,0.25,0.267,0.26,0.271,colorimetric,0.51,0.536,0.25,0.26,0.51,0.51,0,c,other,NA,-0.026,NA,-4.85,,
16,Fall - 2014,(high),124,0.15,0.212,0.57,0.556,colorimetric,0.72,0.73,0.15,0.57,0.72,0.72,0,c,other,NA,-0.01,NA,-1.37,,
16,Fall - 2014,(low),123,0.43,0.32,0.26,0.257,colorimetric,0.69,0.555,0.43,0.26,0.69,0.69,0,c,other,NA,0.135,NA,24.32,,
16,Fall - 2015,(high),128,0.49,0.518,2.9,3.04,colorimetric,3.39,3.53,0.49,2.9,3.39,3.39,0,c,other,NA,-0.14,NA,-3.97,,
16,Fall - 2015,(low),127,0.09,0.139,0.3,0.302,colorimetric,0.39,0.437,0.09,0.3,0.39,0.39,0,c,other,NA,-0.047,NA,-10.76,,
16,Fall - 2016,(high),132,0.38,0.317,0.91,0.933,colorimetric,1.29,1.24,0.38,0.91,1.29,1.29,0,c,other,NA,0.05,NA,4.03,,
16,Fall - 2016,(low),131,0.24,0.14,0.35,0.362,colorimetric,0.59,0.491,0.24,0.35,0.59,0.59,0,c,other,NA,0.099,NA,20.16,,
