,Lab,Study,type,SRS_ID,TKN_r,TKN_mpv,NO3_r,NO3_mpv,reported_NO3.method,TN_r,TN_mpv,TKN_r2,NO3_r2,TN_r2,TN_c,compare,inferred._TN_method,reported_TN_method,bias.TN.d,bias.TN.c,TN.d.bias..,TN.c.bias..,Flag.TN.d,Flag.TN.c,TN_rep_ind,TN_estimate2,bias2,bias2_trim2,typemethod
141,198,Spring - 2017,(high),134,NA,NA,0.83,0.801,NA,0.986,0.98,NA,0.83,0.986,NA,NA,d,colorimetric,0.006,NA,0.61,NA,,,0,0.986,0.006,0.006,d (high)
142,198,Spring - 2017,(low),133,NA,NA,0.091,0.09,NA,0.197,0.199,NA,0.091,0.197,NA,NA,d,colorimetric,-0.002,NA,-1.01,NA,,,0,0.197,-0.002,-0.002,d (low)
143,198,Spring - 2018,(high),138,NA,NA,0.825,0.79,NA,1.258,1.27,NA,0.825,1.258,NA,NA,d,colorimetric,-0.012,NA,-0.94,NA,,,0,1.258,-0.012,-0.012,d (high)
144,198,Spring - 2018,(low),137,NA,NA,0.343,0.326,NA,0.463,0.45,NA,0.343,0.463,NA,NA,d,colorimetric,0.013,NA,2.89,NA,,,0,0.463,0.013,0.013,d (low)
145,209,Fall - 2016,(high),132,NA,NA,NA,NA,NA,1.272,1.24,NA,NA,1.272,NA,NA,d,colorimetric,0.032,NA,2.58,NA,,,0,1.272,0.032,0.032,d (high)
146,209,Spring - 2012,(low),113,NA,NA,NA,NA,NA,0.341,0.349,NA,NA,0.341,NA,NA,d,colorimetric,-0.008,NA,-2.29,NA,,,0,0.341,-0.008,-0.008,d (low)
147,209,Spring - 2014,(low),121,NA,NA,NA,NA,NA,0.627,0.555,NA,NA,0.627,NA,NA,d,colorimetric,0.072,NA,12.97,NA,,,0,0.627,0.072,0.072,d (low)
149,224,Fall - 2013,(low),119,NA,NA,NA,NA,NA,0.59,0.536,NA,NA,0.59,NA,NA,d,colorimetric,0.054,NA,10.07,NA,,,0,0.59,0.054,0.054,d (low)
151,224,Fall - 2014,(low),123,NA,NA,0.28,0.257,NA,0.52,0.555,NA,0.28,0.52,NA,NA,d,colorimetric,-0.035,NA,-6.31,NA,,,0,0.52,-0.035,-0.035,d (low)
152,224,Fall - 2015,(high),128,NA,NA,3,3.04,NA,3.59,3.53,NA,3,3.59,NA,NA,d,colorimetric,0.06,NA,1.7,NA,,,0,3.59,0.06,0.06,d (high)
153,224,Fall - 2015,(low),127,NA,NA,0.3,0.302,NA,0.49,0.437,NA,0.3,0.49,NA,NA,d,colorimetric,0.053,NA,12.13,NA,,,0,0.49,0.053,0.053,d (low)
154,224,Fall - 2016,(high),132,NA,NA,0.92,0.933,NA,1.24,1.24,NA,0.92,1.24,NA,NA,d,colorimetric,0,NA,0,NA,,,0,1.24,0,0,d (high)
155,224,Fall - 2016,(low),131,NA,NA,0.39,0.362,NA,0.51,0.491,NA,0.39,0.51,NA,NA,d,colorimetric,0.019,NA,3.87,NA,,,0,0.51,0.019,0.019,d (low)
156,224,Fall - 2018,(high),140,NA,NA,0.69,0.663,NA,1.18,1.14,NA,0.69,1.18,NA,NA,d,colorimetric,0.04,NA,3.51,NA,,,0,1.18,0.04,0.04,d (high)
157,224,Fall - 2018,(low),139,NA,NA,0.21,0.2,NA,0.36,0.307,NA,0.21,0.36,NA,NA,d,colorimetric,0.053,NA,17.26,NA,,,0,0.36,0.053,0.053,d (low)
159,224,Spring - 2013,(low),117,NA,NA,0.19,0.22,NA,0.63,0.641,NA,0.19,0.63,NA,NA,d,colorimetric,-0.011,NA,-1.72,NA,,,0,0.63,-0.011,-0.011,d (low)
161,224,Spring - 2014,(low),121,NA,NA,0.42,0.418,NA,0.51,0.555,NA,0.42,0.51,NA,NA,d,colorimetric,-0.045,NA,-8.11,NA,,,0,0.51,-0.045,-0.045,d (low)
163,224,Spring - 2015,(low),125,NA,NA,0.33,0.307,NA,0.42,0.464,NA,0.33,0.42,NA,NA,d,colorimetric,-0.044,NA,-9.48,NA,,,0,0.42,-0.044,-0.044,d (low)
164,224,Spring - 2016,(high),130,NA,NA,1.88,1.81,NA,2.29,2.32,NA,1.88,2.29,NA,NA,d,colorimetric,-0.03,NA,-1.29,NA,,,0,2.29,-0.03,-0.03,d (high)
165,224,Spring - 2016,(low),129,NA,NA,0.28,0.267,NA,0.46,0.48,NA,0.28,0.46,NA,NA,d,colorimetric,-0.02,NA,-4.17,NA,,,0,0.46,-0.02,-0.02,d (low)
166,224,Spring - 2017,(high),134,NA,NA,0.81,0.801,NA,0.96,0.98,NA,0.81,0.96,NA,NA,d,colorimetric,-0.02,NA,-2.04,NA,,,0,0.96,-0.02,-0.02,d (high)
167,224,Spring - 2017,(low),133,NA,NA,0.08,0.09,NA,0.19,0.199,NA,0.08,0.19,NA,NA,d,colorimetric,-0.009,NA,-4.52,NA,,,0,0.19,-0.009,-0.009,d (low)
168,224,Spring - 2018,(high),138,NA,NA,0.8,0.79,NA,1.36,1.27,NA,0.8,1.36,NA,NA,d,colorimetric,0.09,NA,7.09,NA,,,0,1.36,0.09,0.09,d (high)
169,224,Spring - 2018,(low),137,NA,NA,0.36,0.326,NA,0.54,0.45,NA,0.36,0.54,NA,NA,d,colorimetric,0.09,NA,20,NA,,,0,0.54,0.09,0.09,d (low)
170,297,Fall - 2012,(high),116,NA,NA,NA,NA,NA,0.9043,0.889,NA,NA,0.9043,NA,NA,d,colorimetric,0.0153,NA,1.72,NA,,,0,0.9043,0.0153,0.0153,d (high)
171,297,Fall - 2012,(low),115,NA,NA,NA,NA,NA,0.5003,0.463,NA,NA,0.5003,NA,NA,d,colorimetric,0.0373,NA,8.06,NA,,,0,0.5003,0.0373,0.0373,d (low)
172,297,Fall - 2013,(high),120,NA,NA,0.6998,0.692,NA,1.23,1.21,NA,0.6998,1.23,NA,NA,d,colorimetric,0.02,NA,1.65,NA,,,0,1.23,0.02,0.02,d (high)
173,297,Fall - 2013,(low),119,NA,NA,0.2568,0.271,NA,0.5337,0.536,NA,0.2568,0.5337,NA,NA,d,colorimetric,-0.0023,NA,-0.43,NA,,,0,0.5337,-0.0023,-0.0023,d (low)
175,297,Fall - 2014,(low),123,NA,NA,0.233,0.257,NA,0.649,0.555,NA,0.233,0.649,NA,NA,d,colorimetric,0.094,NA,16.94,NA,,,0,0.649,0.094,0.094,d (low)
177,297,Fall - 2015,(low),127,NA,NA,0.29,0.302,NA,0.479,0.437,NA,0.29,0.479,NA,NA,d,colorimetric,0.042,NA,9.61,NA,,,0,0.479,0.042,0.042,d (low)
178,297,Fall - 2016,(high),132,NA,NA,0.907,0.933,NA,1.33,1.24,NA,0.907,1.33,NA,NA,d,colorimetric,0.09,NA,7.26,NA,,,0,1.33,0.09,0.09,d (high)
179,297,Fall - 2016,(low),131,NA,NA,0.359,0.362,NA,0.524,0.491,NA,0.359,0.524,NA,NA,d,colorimetric,0.033,NA,6.72,NA,,,0,0.524,0.033,0.033,d (low)
180,297,Fall - 2017,(high),136,NA,NA,0.607,0.639,NA,1.04,1.06,NA,0.607,1.04,NA,NA,d,colorimetric,-0.02,NA,-1.89,NA,,,0,1.04,-0.02,-0.02,d (high)
181,297,Fall - 2017,(low),135,NA,NA,0.407,0.436,NA,0.616,0.616,NA,0.407,0.616,NA,NA,d,colorimetric,0,NA,0,NA,,,0,0.616,0,0,d (low)
182,297,Fall - 2018,(high),140,NA,NA,0.64,0.663,NA,1.22,1.14,NA,0.64,1.22,NA,NA,d,colorimetric,0.08,NA,7.02,NA,,,0,1.22,0.08,0.08,d (high)
183,297,Fall - 2018,(low),139,NA,NA,0.18,0.2,NA,0.327,0.307,NA,0.18,0.327,NA,NA,d,colorimetric,0.02,NA,6.51,NA,,,0,0.327,0.02,0.02,d (low)
185,297,Spring - 2012,(low),113,NA,NA,0.109,0.107,NA,0.386,0.349,NA,0.109,0.386,NA,NA,d,colorimetric,0.037,NA,10.6,NA,,,0,0.386,0.037,0.037,d (low)
186,297,Spring - 2013,(high),118,NA,NA,0.6046,0.59,NA,1.449,1.48,NA,0.6046,1.449,NA,NA,d,colorimetric,-0.031,NA,-2.09,NA,,,0,1.449,-0.031,-0.031,d (high)
187,297,Spring - 2013,(low),117,NA,NA,0.2305,0.22,NA,0.6972,0.641,NA,0.2305,0.6972,NA,NA,d,colorimetric,0.0562,NA,8.77,NA,,,0,0.6972,0.0562,0.0562,d (low)
188,297,Spring - 2014,(high),122,NA,NA,1.02,1.1,NA,1.791,1.7,NA,1.02,1.791,NA,NA,d,colorimetric,0.091,NA,5.35,NA,,,0,1.791,0.091,0.091,d (high)
191,297,Spring - 2015,(low),125,NA,NA,0.279,0.307,NA,0.484,0.464,NA,0.279,0.484,NA,NA,d,colorimetric,0.02,NA,4.31,NA,,,0,0.484,0.02,0.02,d (low)
192,297,Spring - 2017,(high),134,NA,NA,0.722,0.801,NA,0.9773,0.98,NA,0.722,0.9773,NA,NA,d,colorimetric,-0.0027,NA,-0.28,NA,,,0,0.9773,-0.0027,-0.0027,d (high)
193,297,Spring - 2017,(low),133,NA,NA,0.087,0.09,NA,0.1955,0.199,NA,0.087,0.1955,NA,NA,d,colorimetric,-0.0035,NA,-1.76,NA,,,0,0.1955,-0.0035,-0.0035,d (low)
194,297,Spring - 2018,(high),138,NA,NA,0.811,0.79,NA,1.24,1.27,NA,0.811,1.24,NA,NA,d,colorimetric,-0.03,NA,-2.36,NA,,,0,1.24,-0.03,-0.03,d (high)
195,297,Spring - 2018,(low),137,NA,NA,0.348,0.326,NA,0.427,0.45,NA,0.348,0.427,NA,NA,d,colorimetric,-0.023,NA,-5.11,NA,,,0,0.427,-0.023,-0.023,d (low)
196,307,Fall - 2014,(high),124,NA,NA,0.574,0.556,NA,0.72,0.73,NA,0.574,0.72,NA,NA,d,colorimetric,-0.01,NA,-1.37,NA,,,0,0.72,-0.01,-0.01,d (high)
197,307,Fall - 2015,(high),128,NA,NA,3.38,3.04,NA,3.53,3.53,NA,3.38,3.53,NA,NA,d,colorimetric,0,NA,0,NA,,,0,3.53,0,0,d (high)
199,307,Fall - 2017,(high),136,NA,NA,0.637,0.639,NA,1.14,1.06,NA,0.637,1.14,NA,NA,d,colorimetric,0.08,NA,7.55,NA,,,0,1.14,0.08,0.08,d (high)
201,307,Spring - 2015,(high),126,NA,NA,NA,NA,NA,1.93,1.86,NA,NA,1.93,NA,NA,d,colorimetric,0.07,NA,3.76,NA,,,0,1.93,0.07,0.07,d (high)
205,316,Fall - 2012,(low),115,NA,NA,0.2214,0.228,NA,0.455,0.463,NA,0.2214,0.455,NA,NA,d,colorimetric,-0.008,NA,-1.73,NA,,,0,0.455,-0.008,-0.008,d (low)
206,316,Fall - 2013,(low),119,NA,NA,0.2683,0.271,NA,0.54,0.536,NA,0.2683,0.54,NA,NA,d,colorimetric,0.004,NA,0.75,NA,,,0,0.54,0.004,0.004,d (low)
207,316,Fall - 2014,(low),123,NA,NA,0.2545,0.257,NA,0.547,0.555,NA,0.2545,0.547,NA,NA,d,colorimetric,-0.008,NA,-1.44,NA,,,0,0.547,-0.008,-0.008,d (low)
208,316,Fall - 2015,(low),127,NA,NA,0.326,0.302,NA,0.46,0.437,NA,0.326,0.46,NA,NA,d,colorimetric,0.023,NA,5.26,NA,,,0,0.46,0.023,0.023,d (low)
209,316,Fall - 2016,(low),131,NA,NA,0.366,0.362,NA,0.491,0.491,NA,0.366,0.491,NA,NA,d,colorimetric,0,NA,0,NA,,,0,0.491,0,0,d (low)
210,316,Fall - 2017,(low),135,NA,NA,0.4377,0.436,NA,0.619,0.616,NA,0.4377,0.619,NA,NA,d,colorimetric,0.003,NA,0.49,NA,,,0,0.619,0.003,0.003,d (low)
212,316,Spring - 2012,(low),113,NA,NA,0.1074,0.107,NA,0.329,0.349,NA,0.1074,0.329,NA,NA,d,colorimetric,-0.02,NA,-5.73,NA,,,0,0.329,-0.02,-0.02,d (low)
213,316,Spring - 2014,(low),121,NA,NA,0.4188,0.418,NA,0.597,0.555,NA,0.4188,0.597,NA,NA,d,colorimetric,0.042,NA,7.57,NA,,,0,0.597,0.042,0.042,d (low)
214,316,Spring - 2016,(low),129,NA,NA,0.2654,0.267,NA,0.476,0.48,NA,0.2654,0.476,NA,NA,d,colorimetric,-0.004,NA,-0.83,NA,,,0,0.476,-0.004,-0.004,d (low)
215,316,Spring - 2017,(low),133,NA,NA,0.091,0.09,NA,0.193,0.199,NA,0.091,0.193,NA,NA,d,colorimetric,-0.006,NA,-3.02,NA,,,0,0.193,-0.006,-0.006,d (low)
216,316,Spring - 2018,(low),137,NA,NA,0.3245,0.326,NA,0.44,0.45,NA,0.3245,0.44,NA,NA,d,colorimetric,-0.01,NA,-2.22,NA,,,0,0.44,-0.01,-0.01,d (low)
217,318,Fall - 2012,(high),116,NA,NA,0.46,0.445,NA,0.855,0.889,NA,0.46,0.855,NA,NA,d,colorimetric,-0.034,NA,-3.82,NA,,,0,0.855,-0.034,-0.034,d (high)
218,318,Fall - 2012,(low),115,NA,NA,0.2366,0.228,NA,0.469,0.463,NA,0.2366,0.469,NA,NA,d,colorimetric,0.006,NA,1.3,NA,,,0,0.469,0.006,0.006,d (low)
219,318,Fall - 2013,(high),120,NA,NA,0.695,0.692,NA,1.239,1.21,NA,0.695,1.239,NA,NA,d,colorimetric,0.029,NA,2.4,NA,,,0,1.239,0.029,0.029,d (high)
220,318,Fall - 2013,(low),119,NA,NA,0.264,0.271,NA,0.57,0.536,NA,0.264,0.57,NA,NA,d,colorimetric,0.034,NA,6.34,NA,,,0,0.57,0.034,0.034,d (low)
221,318,Fall - 2014,(high),124,NA,NA,0.564,0.556,NA,0.782,0.73,NA,0.564,0.782,NA,NA,d,colorimetric,0.052,NA,7.12,NA,,,0,0.782,0.052,0.052,d (high)
222,318,Fall - 2014,(low),123,NA,NA,0.254,0.257,NA,0.579,0.555,NA,0.254,0.579,NA,NA,d,colorimetric,0.024,NA,4.32,NA,,,0,0.579,0.024,0.024,d (low)
223,318,Fall - 2015,(high),128,NA,NA,3.18,3.04,NA,3.528,3.53,NA,3.18,3.528,NA,NA,d,colorimetric,-0.002,NA,-0.06,NA,,,0,3.528,-0.002,-0.002,d (high)
224,318,Fall - 2015,(low),127,NA,NA,0.327,0.302,NA,0.437,0.437,NA,0.327,0.437,NA,NA,d,colorimetric,0,NA,0,NA,,,0,0.437,0,0,d (low)
225,318,Fall - 2016,(high),132,NA,NA,0.977,0.933,NA,1.253,1.24,NA,0.977,1.253,NA,NA,d,colorimetric,0.013,NA,1.05,NA,,,0,1.253,0.013,0.013,d (high)
226,318,Fall - 2016,(low),131,NA,NA,0.381,0.362,NA,0.503,0.491,NA,0.381,0.503,NA,NA,d,colorimetric,0.012,NA,2.44,NA,,,0,0.503,0.012,0.012,d (low)
227,318,Fall - 2017,(high),136,NA,NA,0.657,0.639,NA,1.063,1.06,NA,0.657,1.063,NA,NA,d,colorimetric,0.003,NA,0.28,NA,,,0,1.063,0.003,0.003,d (high)
228,318,Fall - 2017,(low),135,NA,NA,0.472,0.436,NA,0.629,0.616,NA,0.472,0.629,NA,NA,d,colorimetric,0.013,NA,2.11,NA,,,0,0.629,0.013,0.013,d (low)
229,318,Fall - 2018,(high),140,NA,NA,0.638,0.663,NA,1.09,1.14,NA,0.638,1.09,NA,NA,d,colorimetric,-0.05,NA,-4.39,NA,,,0,1.09,-0.05,-0.05,d (high)
230,318,Fall - 2018,(low),139,NA,NA,0.204,0.2,NA,0.29,0.307,NA,0.204,0.29,NA,NA,d,colorimetric,-0.017,NA,-5.54,NA,,,0,0.29,-0.017,-0.017,d (low)
232,318,Spring - 2012,(low),113,NA,NA,0.1081,0.107,NA,0.345,0.349,NA,0.1081,0.345,NA,NA,d,colorimetric,-0.004,NA,-1.15,NA,,,0,0.345,-0.004,-0.004,d (low)
233,318,Spring - 2013,(high),118,NA,NA,0.708,0.59,NA,1.518,1.48,NA,0.708,1.518,NA,NA,d,colorimetric,0.038,NA,2.57,NA,,,0,1.518,0.038,0.038,d (high)
234,318,Spring - 2013,(low),117,NA,NA,0.221,0.22,NA,0.683,0.641,NA,0.221,0.683,NA,NA,d,colorimetric,0.042,NA,6.55,NA,,,0,0.683,0.042,0.042,d (low)
235,318,Spring - 2018,(high),138,NA,NA,0.751,0.79,NA,1.236,1.27,NA,0.751,1.236,NA,NA,d,colorimetric,-0.034,NA,-2.68,NA,,,0,1.236,-0.034,-0.034,d (high)
236,318,Spring - 2018,(low),137,NA,NA,0.339,0.326,NA,0.458,0.45,NA,0.339,0.458,NA,NA,d,colorimetric,0.008,NA,1.78,NA,,,0,0.458,0.008,0.008,d (low)
237,320,Fall - 2012,(low),115,NA,NA,0.226,0.228,NA,0.476,0.463,NA,0.226,0.476,NA,NA,d,colorimetric,0.013,NA,2.81,NA,,,0,0.476,0.013,0.013,d (low)
238,320,Fall - 2013,(low),119,NA,NA,0.274,0.271,NA,0.545,0.536,NA,0.274,0.545,NA,NA,d,colorimetric,0.009,NA,1.68,NA,,,0,0.545,0.009,0.009,d (low)
239,320,Fall - 2014,(low),123,NA,NA,0.255,0.257,NA,0.568,0.555,NA,0.255,0.568,NA,NA,d,colorimetric,0.013,NA,2.34,NA,,,0,0.568,0.013,0.013,d (low)
240,320,Fall - 2015,(low),127,NA,NA,0.294,0.302,NA,0.454,0.437,NA,0.294,0.454,NA,NA,d,colorimetric,0.017,NA,3.89,NA,,,0,0.454,0.017,0.017,d (low)
241,320,Fall - 2016,(low),131,NA,NA,0.364,0.362,NA,0.495,0.491,NA,0.364,0.495,NA,NA,d,colorimetric,0.004,NA,0.81,NA,,,0,0.495,0.004,0.004,d (low)
242,320,Fall - 2017,(low),135,NA,NA,0.43,0.436,NA,0.627,0.616,NA,0.43,0.627,NA,NA,d,colorimetric,0.011,NA,1.79,NA,,,0,0.627,0.011,0.011,d (low)
243,320,Fall - 2018,(high),140,NA,NA,0.673,0.663,NA,1.16,1.14,NA,0.673,1.16,NA,NA,d,colorimetric,0.02,NA,1.75,NA,,,0,1.16,0.02,0.02,d (high)
244,320,Fall - 2018,(low),139,NA,NA,0.203,0.2,NA,0.303,0.307,NA,0.203,0.303,NA,NA,d,colorimetric,-0.004,NA,-1.3,NA,,,0,0.303,-0.004,-0.004,d (low)
246,320,Spring - 2012,(low),113,NA,NA,0.106,0.107,NA,0.345,0.349,NA,0.106,0.345,NA,NA,d,colorimetric,-0.004,NA,-1.15,NA,,,0,0.345,-0.004,-0.004,d (low)
247,320,Spring - 2013,(high),118,NA,NA,0.595,0.59,NA,1.528,1.48,NA,0.595,1.528,NA,NA,d,colorimetric,0.048,NA,3.24,NA,,,0,1.528,0.048,0.048,d (high)
248,320,Spring - 2013,(low),117,NA,NA,0.222,0.22,NA,0.649,0.641,NA,0.222,0.649,NA,NA,d,colorimetric,0.008,NA,1.25,NA,,,0,0.649,0.008,0.008,d (low)
249,320,Spring - 2014,(high),122,NA,NA,1.12,1.1,NA,1.78,1.7,NA,1.12,1.78,NA,NA,d,colorimetric,0.08,NA,4.71,NA,,,0,1.78,0.08,0.08,d (high)
250,320,Spring - 2014,(low),121,NA,NA,0.42,0.418,NA,0.594,0.555,NA,0.42,0.594,NA,NA,d,colorimetric,0.039,NA,7.03,NA,,,0,0.594,0.039,0.039,d (low)
251,320,Spring - 2015,(high),126,NA,NA,1.47,1.48,NA,1.92,1.86,NA,1.47,1.92,NA,NA,d,colorimetric,0.06,NA,3.23,NA,,,0,1.92,0.06,0.06,d (high)
252,320,Spring - 2015,(low),125,NA,NA,0.297,0.307,NA,0.439,0.464,NA,0.297,0.439,NA,NA,d,colorimetric,-0.025,NA,-5.39,NA,,,0,0.439,-0.025,-0.025,d (low)
254,320,Spring - 2016,(low),129,NA,NA,0.274,0.267,NA,0.479,0.48,NA,0.274,0.479,NA,NA,d,colorimetric,-0.001,NA,-0.21,NA,,,0,0.479,-0.001,-0.001,d (low)
255,320,Spring - 2017,(high),134,NA,NA,0.77,0.801,NA,0.944,0.98,NA,0.77,0.944,NA,NA,d,colorimetric,-0.036,NA,-3.67,NA,,,0,0.944,-0.036,-0.036,d (high)
256,320,Spring - 2017,(low),133,NA,NA,0.0888,0.09,NA,0.183,0.199,NA,0.0888,0.183,NA,NA,d,colorimetric,-0.016,NA,-8.04,NA,,,0,0.183,-0.016,-0.016,d (low)
257,320,Spring - 2018,(high),138,NA,NA,0.8,0.79,NA,1.33,1.27,NA,0.8,1.33,NA,NA,d,colorimetric,0.06,NA,4.72,NA,,,0,1.33,0.06,0.06,d (high)
258,320,Spring - 2018,(low),137,NA,NA,0.321,0.326,NA,0.45,0.45,NA,0.321,0.45,NA,NA,d,colorimetric,0,NA,0,NA,,,0,0.45,0,0,d (low)
259,356,Fall - 2012,(high),116,NA,NA,0.453,0.445,NA,0.899,0.889,NA,0.453,0.899,NA,NA,d,colorimetric,0.01,NA,1.12,NA,,,0,0.899,0.01,0.01,d (high)
260,375,Spring - 2012,(high),114,NA,NA,1.062,1.13,NA,2.1879,2.15,NA,1.062,2.1879,NA,NA,d,colorimetric,0.0379,NA,1.76,NA,,,0,2.1879,0.0379,0.0379,d (high)
261,375,Spring - 2013,(low),117,NA,NA,0.2209,0.22,NA,0.6439,0.641,NA,0.2209,0.6439,NA,NA,d,colorimetric,0.0029,NA,0.45,NA,,,0,0.6439,0.0029,0.0029,d (low)
262,375,Spring - 2014,(low),121,NA,NA,0.417,0.418,NA,0.527,0.555,NA,0.417,0.527,NA,NA,d,colorimetric,-0.028,NA,-5.05,NA,,,0,0.527,-0.028,-0.028,d (low)
263,375,Spring - 2015,(high),126,NA,NA,1.5162,1.48,NA,1.8369,1.86,NA,1.5162,1.8369,NA,NA,d,colorimetric,-0.0231,NA,-1.24,NA,,,0,1.8369,-0.0231,-0.0231,d (high)
264,375,Spring - 2016,(high),130,NA,NA,2.7109,1.81,NA,2.3435,2.32,NA,2.7109,2.3435,NA,NA,d,colorimetric,0.0235,NA,1.01,NA,,,0,2.3435,0.0235,0.0235,d (high)
265,375,Spring - 2017,(low),133,NA,NA,0.0759,0.09,NA,0.1921,0.199,NA,0.07591,0.1921,NA,NA,d,colorimetric,-0.0069,NA,-3.47,NA,,,0,0.1921,-0.0069,-0.0069,d (low)
266,375,Spring - 2018,(low),137,NA,NA,0.32552,0.326,NA,0.43254,0.45,NA,0.32552,0.4325,NA,NA,d,colorimetric,-0.0175,NA,-3.89,NA,,,0,0.4325,-0.0175,-0.0175,d (low)
267,381,Fall - 2012,(low),115,NA,NA,NA,NA,NA,0.482,0.463,NA,NA,0.482,NA,NA,d,colorimetric,0.019,NA,4.1,NA,,,0,0.482,0.019,0.019,d (low)
268,381,Spring - 2012,(low),113,NA,NA,0.116,0.107,NA,0.387,0.349,NA,0.116,0.387,NA,NA,d,colorimetric,0.038,NA,10.89,NA,,,0,0.387,0.038,0.038,d (low)
269,381,Spring - 2013,(low),117,NA,NA,0.2086,0.22,NA,0.65445,0.641,NA,0.2086,0.6544,NA,NA,d,colorimetric,0.0134,NA,2.09,NA,,,0,0.6544,0.0134,0.0134,d (low)
275,407,Spring - 2013,(high),118,1.36,0.93,0.6,0.59,IC,1.51,1.48,1.36,0.6,1.51,1.96,0.45,d,colorimetric,0.03,0.48,2.03,32.43,,"X, F",0,1.51,0.03,0.03,d (high)
276,407,Spring - 2013,(low),117,0.553,0.44,0.21,0.22,IC,0.623,0.641,0.553,0.21,0.623,0.763,0.14,d,colorimetric,-0.018,0.122,-2.81,19.03,,,0,0.623,-0.018,-0.018,d (low)
277,411,Spring - 2012,(low),113,NA,NA,0.109,0.107,NA,0.367,0.349,NA,0.109,0.367,NA,NA,d,colorimetric,0.018,NA,5.16,NA,,,0,0.367,0.018,0.018,d (low)
280,416,Fall - 2013,(high),120,NA,NA,NA,NA,NA,1.2,1.21,NA,NA,1.2,NA,NA,d,colorimetric,-0.01,NA,-0.83,NA,,,0,1.2,-0.01,-0.01,d (high)
281,416,Fall - 2013,(low),119,NA,NA,NA,NA,NA,0.542,0.536,NA,NA,0.542,NA,NA,d,colorimetric,0.006,NA,1.12,NA,,,0,0.542,0.006,0.006,d (low)
282,416,Spring - 2015,(high),126,NA,NA,NA,NA,NA,1.88,1.86,NA,NA,1.88,NA,NA,d,colorimetric,0.02,NA,1.08,NA,,,0,1.88,0.02,0.02,d (high)
283,416,Spring - 2015,(low),125,NA,NA,NA,NA,NA,0.431,0.464,NA,NA,0.431,NA,NA,d,colorimetric,-0.033,NA,-7.11,NA,,,0,0.431,-0.033,-0.033,d (low)
284,416,Spring - 2016,(low),129,NA,NA,0.267,0.267,NA,0.48,0.48,NA,0.267,0.48,NA,NA,d,colorimetric,0,NA,0,NA,,,0,0.48,0,0,d (low)
286,416,Spring - 2018,(low),137,NA,NA,NA,NA,NA,0.441,0.45,NA,NA,0.441,NA,NA,d,colorimetric,-0.009,NA,-2,NA,,,0,0.441,-0.009,-0.009,d (low)
287,417,Fall - 2012,(high),116,NA,NA,0.487,0.445,NA,0.948,0.889,NA,0.487,0.948,NA,NA,d,colorimetric,0.059,NA,6.64,NA,,,0,0.948,0.059,0.059,d (high)
288,417,Fall - 2012,(low),115,NA,NA,0.25,0.228,NA,0.489,0.463,NA,0.25,0.489,NA,NA,d,colorimetric,0.026,NA,5.62,NA,,,0,0.489,0.026,0.026,d (low)
290,417,Fall - 2015,(low),127,NA,NA,0.331,0.302,NA,0.447,0.437,NA,0.331,0.447,NA,NA,d,colorimetric,0.01,NA,2.29,NA,,,0,0.447,0.01,0.01,d (low)
291,417,Fall - 2017,(high),136,NA,NA,0.658,0.639,NA,1.098,1.06,NA,0.658,1.098,NA,NA,d,colorimetric,0.038,NA,3.58,NA,,,0,1.098,0.038,0.038,d (high)
292,417,Fall - 2017,(low),135,NA,NA,0.47,0.436,NA,0.63,0.616,NA,0.47,0.63,NA,NA,d,colorimetric,0.014,NA,2.27,NA,,,0,0.63,0.014,0.014,d (low)
293,417,Spring - 2014,(high),122,NA,NA,1.125,1.1,NA,1.755,1.7,NA,1.125,1.755,NA,NA,d,colorimetric,0.055,NA,3.24,NA,,,0,1.755,0.055,0.055,d (high)
294,417,Spring - 2014,(low),121,NA,NA,0.423,0.418,NA,0.549,0.555,NA,0.423,0.549,NA,NA,d,colorimetric,-0.006,NA,-1.08,NA,,,0,0.549,-0.006,-0.006,d (low)
296,417,Spring - 2016,(low),129,NA,NA,0.287,0.267,NA,0.438,0.48,NA,0.287,0.438,NA,NA,d,colorimetric,-0.042,NA,-8.75,NA,,,0,0.438,-0.042,-0.042,d (low)
297,419,Fall - 2012,(high),116,NA,NA,0.439,0.445,NA,0.899,0.889,NA,0.439,0.899,NA,NA,d,colorimetric,0.01,NA,1.12,NA,,,0,0.899,0.01,0.01,d (high)
298,419,Fall - 2012,(low),115,NA,NA,0.227,0.228,NA,0.446,0.463,NA,0.227,0.446,NA,NA,d,colorimetric,-0.017,NA,-3.67,NA,,,0,0.446,-0.017,-0.017,d (low)
299,419,Fall - 2013,(high),120,NA,NA,0.704,0.692,NA,1.21,1.21,NA,0.704,1.21,NA,NA,d,colorimetric,0,NA,0,NA,,,0,1.21,0,0,d (high)
300,419,Fall - 2013,(low),119,NA,NA,0.266,0.271,NA,0.509,0.536,NA,0.266,0.509,NA,NA,d,colorimetric,-0.027,NA,-5.04,NA,,,0,0.509,-0.027,-0.027,d (low)
301,419,Fall - 2014,(high),124,NA,NA,NA,NA,NA,0.74,0.73,NA,NA,0.74,NA,NA,d,colorimetric,0.01,NA,1.37,NA,,,0,0.74,0.01,0.01,d (high)
302,419,Fall - 2014,(low),123,NA,NA,NA,NA,NA,0.543,0.555,NA,NA,0.543,NA,NA,d,colorimetric,-0.012,NA,-2.16,NA,,,0,0.543,-0.012,-0.012,d (low)
