,Lab,Study,type,SRS_ID,TKN_r,TKN_mpv,NO3_r,NO3_mpv,reported_NO3.method,TN_r,TN_mpv,TKN_r2,NO3_r2,TN_r2,TN_c,compare,inferred._TN_method,reported_TN_method,bias.TN.d,bias.TN.c,TN.d.bias..,TN.c.bias..,Flag.TN.d,Flag.TN.c,TN_rep_ind,TN_estimate2,bias2,bias2_trim2,typemethod
20,1,Spring - 2015,(low),125,0.144,0.162,0.292,0.307,colorimetric,0.463,0.464,0.144,0.292,0.463,0.436,-0.027,d,colorimetric,-0.001,-0.028,-0.22,-6.03,,,0,0.463,-0.001,-0.001,d (low)
22,1,Spring - 2016,(low),129,0.214,0.24,0.256,0.267,colorimetric,0.494,0.48,0.214,0.256,0.494,0.47,-0.024,d,colorimetric,0.014,-0.01,2.92,-2.08,,,0,0.494,0.014,0.014,d (low)
23,1,Spring - 2017,(high),134,0.191,0.196,0.782,0.801,colorimetric,0.97,0.98,0.191,0.782,0.97,0.973,0.003,d,colorimetric,-0.01,-0.007,-1.02,-0.71,,,0,0.97,-0.01,-0.01,d (high)
24,1,Spring - 2017,(low),133,0.131,0.134,0.096,0.09,colorimetric,0.215,0.199,0.131,0.096,0.215,0.227,0.012,d,colorimetric,0.016,0.028,8.04,14.07,,,0,0.215,0.016,0.016,d (low)
25,1,Spring - 2018,(high),138,0.499,0.495,0.808,0.79,colorimetric,1.25,1.27,0.499,0.808,1.25,1.307,0.057,d,colorimetric,-0.02,0.037,-1.57,2.91,,,0,1.25,-0.02,-0.02,d (high)
26,1,Spring - 2018,(low),137,0.15,0.143,0.326,0.326,colorimetric,0.433,0.45,0.15,0.326,0.433,0.476,0.043,d,colorimetric,-0.017,0.026,-3.78,5.78,,,0,0.433,-0.017,-0.017,d (low)
27,25,Fall - 2014,(high),124,NA,NA,NA,NA,NA,0.705,0.73,NA,NA,0.705,NA,NA,d,colorimetric,-0.025,NA,-3.42,NA,,,0,0.705,-0.025,-0.025,d (high)
32,25,Spring - 2015,(high),126,NA,NA,NA,NA,NA,1.92,1.86,NA,NA,1.92,NA,NA,d,colorimetric,0.06,NA,3.23,NA,,,0,1.92,0.06,0.06,d (high)
33,25,Spring - 2015,(low),125,NA,NA,NA,NA,NA,0.55,0.464,NA,NA,0.55,NA,NA,d,colorimetric,0.086,NA,18.53,NA,,,0,0.55,0.086,0.086,d (low)
34,38,Fall - 2012,(high),116,NA,NA,0.45,0.445,NA,0.92,0.889,NA,0.45,0.92,NA,NA,d,colorimetric,0.031,NA,3.49,NA,,,0,0.92,0.031,0.031,d (high)
35,38,Fall - 2012,(low),115,NA,NA,0.224,0.228,NA,0.48,0.463,NA,0.224,0.48,NA,NA,d,colorimetric,0.017,NA,3.67,NA,,,0,0.48,0.017,0.017,d (low)
