lagoslakeid,programname,sampledepth_lagos,date,tn_d,no2no3,tkn,tn_censorcode,no2no3_censorcode,tkn_censorcode,tn_c
827,WI_LTER,0,2010-04-14,1.029,0.088,670,NC2,NC4,NC4,0.758
827,WI_LTER,0,2010-04-27,0.707,0.026,550,NC2,NC4,NC4,0.576
827,WI_LTER,0,2010-05-12,0.877,0.04,720,NC2,NC4,NC4,0.76
827,WI_LTER,0,2010-05-26,0.706,0.032,800,NC1,NC4,NC4,0.832
827,WI_LTER,0,2010-06-10,0.807,0.028,840,NC2,NC4,NC4,0.868
827,WI_LTER,0,2010-06-22,0.615,0.024,770,NC2,NC4,NC3,0.794
827,WI_LTER,0,2010-07-07,0.755,0.007,690,NC1,NC3,NC3,0.697
827,WI_LTER,0,2010-07-21,0.812,0.005,800,NC1,NC4,NC4,0.805
827,WI_LTER,0,2010-08-05,0.777,0.006,850,NC1,NC4,NC4,0.856
827,WI_LTER,0,2010-08-17,0.905,0.002,940,NC1,NC4,NC4,0.942
827,WI_LTER,0,2010-08-31,0.892,0.056,1010,NC2,NC3,NC4,1.066
827,WI_LTER,0,2010-10-08,0.768,0.061,830,NC1,NC4,NC4,0.891
827,WI_LTER,0,2010-11-10,1.188,0.191,960,NC2,NC4,NC4,1.151
915,MN_MPCA,0,1968-07-26,0.57,0.02,420,NC3,NC3,NC3,0.44
950,WI_LDF,1,2010-09-01,0.6,0.01,600,NC4,LE1,NC2,0.61
950,WI_LDF,1,2011-08-29,0.4,0.05,400,NC4,LE1,NC2,0.45
1071,MN_MPCA,1,1991-09-24,0.3,0.01,310,NC3,LE3,NC3,0.32
1089,MN_MPCA,0,1975-07-21,0.296,0.01,261,NC3,NC3,NC3,0.271
1166,MN_MPCA,2,1998-06-29,1.71,0.005,1950,NC4,LE4,NC4,1.955
1334,MN_MPCA,2,1998-07-22,1.44,0.575,890,NC4,NC4,NC4,1.465
1337,MN_MPCA,0,1944-08-08,0.616,0.02,396,NC3,NC3,NC3,0.416
1340,MN_MPCA,1,1991-09-27,0.275,0.02,220,NC3,NC3,NC3,0.24
1361,MN_MPCA,1.22,1971-03-16,1.59,0.54,1040,NC3,NC3,NC3,1.58
1361,MN_MPCA,13.11,1971-03-16,1.79,0.23,1500,NC3,NC3,NC3,1.73
1361,MN_MPCA,2,1998-07-27,1.4,0.005,1330,NC4,LE4,NC4,1.335
1390,MN_MPCA,1,1991-09-26,0.407,0.011,370,NC3,NC3,NC3,0.381
1451,MN_MPCA,0,1948-08-03,0.328,0.1,225,NC3,NC3,NC3,0.325
1534,MN_MPCA,0,1971-08-09,1.153,0.025,600,NC3,NC3,NC3,0.625
1548,MN_MPCA,0.61,1971-02-25,2.75,0.215,2520,NC3,NC3,NC3,2.735
1548,MN_MPCA,4.57,1971-02-25,3.01,0.12,2870,NC3,NC3,NC3,2.99
1548,MN_MPCA,8.84,1971-02-25,2.81,0.138,2650,NC3,NC3,NC3,2.788
1548,MN_MPCA,1.22,1971-07-27,1.51,0.065,1420,NC3,NC3,NC3,1.485
1548,MN_MPCA,10.67,1971-07-27,2.34,0.058,2250,NC3,NC3,NC3,2.308
1548,MN_MPCA,1.22,1972-02-22,1.1,0.025,1060,NC3,NC3,NC3,1.085
1548,MN_MPCA,9.45,1972-02-22,2.64,0.01,2580,NC3,NC3,NC3,2.59
1696,MN_MPCA,3.66,1971-03-10,1.54,0.078,1450,NC3,NC3,NC3,1.528
1696,MN_MPCA,9.75,1971-03-10,0.87,0.012,850,NC3,NC3,NC3,0.862
1696,MN_MPCA,1.22,1972-02-14,1.83,0.02,1800,NC3,NC3,NC3,1.82
1764,MN_MPCA,1.22,1971-03-10,2.24,0.116,1100,NC3,NC3,NC3,1.216
1764,MN_MPCA,3.66,1971-03-10,1.88,0.7,1170,NC3,NC3,NC3,1.87
1764,MN_MPCA,5.49,1971-03-10,1.62,0.14,1450,NC3,NC3,NC3,1.59
1764,MN_MPCA,1.22,1972-02-14,1.61,0.04,1560,NC3,NC3,NC3,1.6
1764,MN_MPCA,7.01,1972-02-14,1.91,0.01,1880,NC3,NC3,NC3,1.89
1819,MN_MPCA,0,1947-09-26,1.096,0.08,516,NC3,NC3,NC3,0.596
1934,MN_MPCA,0,1969-06-16,0.55,0.048,380,NC3,NC3,NC3,0.428
1934,MN_MPCA,12.19,1971-03-24,2.5,0.51,1980,NC3,NC3,NC3,2.49
2002,MN_MPCA,1.22,1971-03-24,1.81,0.04,1700,NC3,NC3,NC3,1.74
2002,MN_MPCA,3.66,1971-03-24,1.76,0.04,1700,NC3,NC3,NC3,1.74
2002,MN_MPCA,7.62,1971-03-24,3.2,0.18,3000,NC3,NC3,NC3,3.18
2029,MN_MPCA,1.22,1971-03-22,0.75,0.13,610,NC3,NC3,NC3,0.74
2029,MN_MPCA,10.06,1971-03-22,0.66,0.18,570,NC3,NC3,NC3,0.75
2029,MN_MPCA,1.22,1972-03-08,0.27,0.2,60,NC3,NC3,NC3,0.26
2029,MN_MPCA,10.36,1972-03-08,0.24,0.17,60,NC3,NC3,NC3,0.23
2065,MN_MPCA,0,1969-08-18,1.575,0.058,1460,NC3,NC3,NC3,1.518
2073,MN_MPCA,2,1998-06-30,0.48,0.005,980,NC4,LE4,NC4,0.985
2147,MN_MPCA,0,1970-07-16,2.6,0.02,2870,NC3,NC3,NC3,2.89
